,message,cyberbullying
0,doğa ağzımıza sıçsa hakkı var ,1
1,anne bir sanatçıdır güzel eseri yavrusudur ,0
2,ibrahimin oğlunu koruyan tanrı ben sokayım ,1
3,köpeğim suratına sıçsın senin namussuz karı ,1
4,ben söğüşledim birazda sen söğüşle ,1
5,şerefsizlik sözde sanatçıların vazgeçemediği bir değerdir ,1
6,kendisi bilmiyordur beyinsiz ,1
7,aşırı bıyıklı geleneksel keko adam bi ayrılıp bi barışan boş bakışlı salak çift direnaj ertuğrul sezon dışında bi izlemek isteyenler bi çözüm düşündünüz peki ,1
8,uzun yolculuklar bile tek bir adımla başlar geleceğin mimarları gençlerimiz atılan ilk adımları var gücümüzle desteklemeye devam ediyoruz ,0
9,vallahi aralar istediğimiz tek huzur ,0
10,chp genel başkanı kemal kılıçdaroğlu nun eşi selvi kılıçdaroğlu hazine maliye bakanı berat albayrak ın eşi esra albayrak telefonla arayarak yeni doğan çocuğu ilgili sosyal medyadan yapılan hakaret içerikli paylaşımlar nedeniyle duyduğu üzüntüyü paylaştı ,0
11,beyin göçünü engellemeye çalıştığımız gençlere sosyal medyayı yasaklamak gerçekten dahiyane bir fikir ,0
12,doğa ana kullanılmayan depoyu devralıyor ,0
13,tarlasını çekerken beni çekmedin söylenenen dayının kendinin çekildiğinden habersiz oluşu ,0
14,babanesini seven yoktur heralde anneneler kadar minnoşsa baanneler kadar çekilmez oluyo inşlah babane olmam ilerde aq kimse sevmez beni ,1
15,merhaba konuyla ilgili yardımcı olmak isteriz rtibat numaranızı direkt mesaj olarak bize iletir misiniz ,0
16,nietzsche böyle buyurdu zerdüşt te önce sen kendini inşa etmelisin dimdik bir beden dimdik bir ruhla diyor ekliyor derisini değiştirmeyen yılan ölmeye mahkumdur durum fikirlerini değiştirmeyen zihinler geçerlidir sabit fikir büyük hapishanedir ,0
17,hiçbir harekete geçen cehalet kadar korkunç olamaz ,0
18,yine birileri değişimlerin tadını çıkarmakla meşgul ,0
19,stanley parable bir oyun var abi sevebilirsin cümlesini unutamadım bir eskiden ha evet bir skyrim diyorlar kıl cevaplar veriyordum bunlara artık atıp geçiyom yaşlılık geldi bana ,0
20,seni kitap okuyan insanlarla tanıştıracağım hayat ancak böyle insanlarla bir araya geliyorsan yaşanmaya değer olur ,0
21,yaptığım başarılı aktivite uyumak ,0
22,demiş iyilerle kötüler belli değil it itle gezer yiğit yiğitle ,1
23,bir faydası olmayan zararı olan saray soytarısı nagehan fikrini beyan ediyor ,1
24,ulan yanan alevi yakan alevi bugün temel aynı çanaktan yal yiyorsun olacak ,1
25,defol git lan ölüye saygın yok anladık bari allah tan korkun olsun yok bli ,1
