,message,cyberbullying
0,rabbim kalan ömrünü geçen ömründen hayırlı eylesin,0
1,bir ateist olarak bu resmi gördükçe gözyaşlarıma mani olamıyorum,0
2,oo süpersin azıcık bize de bulaşsa,0
3,bende biliyorum benden bı bok olmicak,1
4,nerdesin len tirrek,1
5,dogruyusoyleyince kadro verince adalet yerini bulacak,0
6,ogrenciler hocalarına memleket durusuna hayran ,0
7,gunaydin hala yatakta olanlar eminim elinizde telefon aletinizde tad gibidir hadi sanalda sabah keyfi yapalim,0
8,artist pezevenk takimi yakti rezildi,1
9,ve o narinlikte ve sevimlilikte cüce öylesine acımasızca zibh eğliyip,0
10,off defol git surdan cüce,1
11,lüks yaşam bu muulan gerizeka lüks hayatları olsa o poşetleri taşıyan hizmetçileri olurdu,1
12,beştepe millet kültür ve kongre merkezi nden elektrik santralleri toplu açılış törenine telekonferansla bağlandı cumhurbaşkanı,0
13,taehyung ne bulsan giyiyon ama yakışıyor ha ibne 1 namjoon 2 sen kezban gibi giyinsenizde aşığım,1
14,hava gavur şeyi gibi yanıyor diyorlar ama o konuda hiç tecrübem yok bilemiyorum,1
15,koca koca adamlar yok şu benim tweetimi çaldı bu benim tweetimi çaldı diye ağlıyor manyak mısınız oğlum,1
16,eğlenceli geceye devam,0
17,bölümü tanımlamaya tek bir sözcük yetiyor abi çoğu embesil,1
18,işçi bayramın kutlu olsun kız şırfıntı sonuçta az işler çevirmedin,1
19,siz hep böyle gülün,0
20,hepinize hayırlı cumalar bitmek üzere ama,0
21,uzat ablacım uzat,0
22,cerrahpaşaduruşu bütünü ile hakkına sahip çıkmaktır hiç kimseyi kırmadan hiç kimseyi yermeden naif bi üslup ile hakkını aramaktır,0
23,paralı sponsor  erkek arayan kızlar bulana kadar cebinde vibratörsüz sokağa çıkmasınlar bi zahmet,1
24,bakalım ben kaç alcam  tebrikler bu arada gayet iyi almışsın,0
25,pazar günü düğün var yok mu bana takım elbise alacak bir baba yiğit,0
26,aşk hevesle başlar hasret gurbetle,0
27,şerefsiz hergun televizyonlarda senin albay olmak vardı cümlesini dinliyoruzallahsiz pislik,1
28,tırrek tirrek hayalleri fikirleri bırak gerçek hayata dön o zaman rambo gibi olursun,1
29,cuma günlerimin vazgeçemediğim mutluluğusun olmazsa olmazsın,0
30,altın yere düşünce pul olmaz derler,0
31,bilgisayar inanılmaz derecede akıllıca şeyler yapma yeteneğine sahip aptal bir makinedir,0
32,elinde balonlarla foto cektırmen senin bir dombili olduğun geçeceğini degıstırmıyor,1
33,çok hafifmeşrep bir şarkı paylaşayım da ulan vurduyor mu acaba diye düşünün,1
34,sağlıklıhuzurlu musmutlu bir,0
35,sakın geleyim deme amk el freni,1
36,valla ben çalışan tayfa idim bilgisayar mühendisi adayı oldum sürünme noktasında değişen,0
37,yine bir çılgınlık yapıp bir sürü kitap sipariş ettimçok mutluyum,0
38,merhaba hayat muhteşem,0
39,ruhun müzik ile dans etmesi,0
40,bu ülkenin başına enbüyük pislik sizlersiniz ayyaş,1
41,bu aşağılık bu cesareti nereden alıyor kimdir bu,1
42,zilli kesha napiyor acaba su an,1
43,sen herşeyden iki kat daha güzelsin,0
44,şu masumiyete bakın,0
45,yemekteyiz yarışmacılar orda kafayı sıyırdı izlerken ben de burda sıyırdım topluca sıyırdık sıyırdığım için beni yargılamayın,0
46,doya doya göt sikmek istiyorum,1
47,hayatıma bu kadar salak insanı almayı nasıl başardım anlamıyorum,1
48,kampanyası öncesi alışverişe mental olarak da hazırlanmak gerek tebrikler ozz,0
49,makyaj senden nefret ediyorum,0
50,ahmedim aslanım nice senelere doğum günün kutlu olsun kardeşim,0
51,yavşak it anerika suriye ve irak ta tüm terör örgütlerine binlerce tır silah verdi niye gıkın çıkmadı şerefsiz hain,1
52,yaşlı insanların şehiriçi otobüslerinden tam inecekleri an andaval şoförün dikkat,1
53,ağzına sıçarım,1
54,hayirlisi olsun halkimiza duyrulur,0
55,kasım ayına yakışan ne de tatlı bir klip insanın sevesi geliyor,0
56,çok güzelsin lanet olsun insan mısın,0
57,işlerim dolayısıyla 4 gündür londra dayım mutlaka bir beşiktaş ürünüyle çıkıyorum dışarı görenler  come to beşiktaş  diyor,0
58,yine bir kavga ve sen benim kim oldugumu biliyor musun cumlesi  gercekten merak uyandirdi  kimdi acaba keko,1
59,bi tane erkeğe full makyaj yapmak istiyorum kim gönüllü ama böyle prof makyaj olacak,0
60,ne güzelsin be,0
61,bellem hala bekliyorum biliyor musun ckckckckc andaval ya xkckc,1
62,işte tarkovski’ye göre edebiyatla sinema arasındaki benzerlik ve farklar,0
63,adana kültür,0
64,ben bu semtin serseri yazarıysam sende en büyük kaşar günaydın,1
65,fikret ormanın açıklamaları gerçekten dürüstçe bizde beşiktaşın başarılı olmasını istiyoruz elbette,0
66,su calathes denen orospu cocugunu durdurun,1
67,beyaz gel beni evimden alda bütün konuklara adını unutana kadar yumruk atayım,1
68,ya ilker boş yapma amk bal gibi de dönüyor,1
69,solmasın gençliğin gamla kasvetle,0
70,anasını bile satar bu dümbük,1
71,amk bitane değilki al kemali vur güvene hepsi sabunluk zirzop,1
72,dön gel dön gel,0
73,tüba üstün başarılı genç bilim insanı ödülü sosyal bilimler alanında kızım doç dr tuba durmuş a verildi gururluyuz,0
74,sikik sikik edebiyat yapıyorsunuz yapmayın,1
75,atanamamış metin akpınara bak konuşuyo bi de dalyarak,1
76,ulan yıllardır şu müziğin sözlerini merak ediyordum şimdi öğrendim çok mutluyum,0
77,vay orospu çocuğu azizeye bam bam bam,1
78,kes lan zübük defol,1
79,birlikte güzel çalışmalara imza attığımız ve değeri bizde baki kalacak olan sayın müdürümüz,0
